id,name,isHighlight,primaryImage,link,countryId,departmentId,accessionYear
109,"Trinket Box",0,https://images.metmuseum.org/CRDImages/ad/original/97154.jpg,https://www.metmuseum.org/art/collection/search/917,1,1,1934
110,"George Washington",0,https://images.metmuseum.org/CRDImages/ad/original/DP248288.jpg,https://www.metmuseum.org/art/collection/search/951,2,1,1883
111,"Box Cover",0,https://images.metmuseum.org/CRDImages/ad/original/140862.jpg,https://www.metmuseum.org/art/collection/search/952,1,1,1947
112,Skippet,0,https://images.metmuseum.org/CRDImages/ad/original/148297.jpg,https://www.metmuseum.org/art/collection/search/953,1,1,1950
113,"Brandy Warmer",0,https://images.metmuseum.org/CRDImages/ad/original/DP110438.jpg,https://www.metmuseum.org/art/collection/search/970,1,1,1966
114,"Bread Plate",0,https://images.metmuseum.org/CRDImages/ad/original/DP258638.jpg,https://www.metmuseum.org/art/collection/search/973,7,1,1910
115,"Bride Box",0,https://images.metmuseum.org/CRDImages/ad/original/97400.jpg,https://www.metmuseum.org/art/collection/search/1019,1,1,1934
116,"The Bryant Vase",1,https://images.metmuseum.org/CRDImages/ad/original/DP161659.jpg,https://www.metmuseum.org/art/collection/search/1029,1,1,1877
117,Buckle,0,https://images.metmuseum.org/CRDImages/ad/original/207103.jpg,https://www.metmuseum.org/art/collection/search/1030,1,1,1975
118,"Bull`s Eye Windowpane",0,https://images.metmuseum.org/CRDImages/ad/original/8366.jpg,https://www.metmuseum.org/art/collection/search/1037,1,1,1910
119,Windowpane,0,https://images.metmuseum.org/CRDImages/ad/original/7613.jpg,https://www.metmuseum.org/art/collection/search/1038,1,1,1910
120,"Bureau Table",0,https://images.metmuseum.org/CRDImages/ad/original/DP112865.JPG,https://www.metmuseum.org/art/collection/search/1044,1,1,1930
121,"Bureau table",0,https://images.metmuseum.org/CRDImages/ad/original/DP108643.jpg,https://www.metmuseum.org/art/collection/search/1047,1,1,1910
122,"Butter Dish",0,https://images.metmuseum.org/CRDImages/ad/original/174475.jpg,https://www.metmuseum.org/art/collection/search/1048,1,1,1946
123,"Butter Mold",0,https://images.metmuseum.org/CRDImages/ad/original/97166.jpg,https://www.metmuseum.org/art/collection/search/1052,1,1,1934
